Date,Open,High,Low,Close,Adj Close,Volume,Days
2016-09-09,69.040001,69.419998,68.75,69,57.043564,6177800,747
2016-09-12,68.449997,69.519997,68.209999,69.300003,57.291573,8167900,748
2016-09-13,69.099998,69.449997,68.82,68.940002,56.993958,9374900,749
2016-09-14,69.290001,69.459999,68.089996,68.199997,56.382198,6638000,750
2016-09-15,68.059998,69.32,67.919998,69.209999,57.217178,5370900,751
2016-09-16,68.919998,69.330002,68.760002,69.230003,57.2337,7138000,752
2016-09-19,69.379997,69.769997,68.870003,68.889999,56.952621,4504600,753
2016-09-20,69.190002,69.290001,68.470001,68.620003,56.729408,2988200,754
2016-09-21,69.150002,69.639999,68.720001,69.470001,57.432114,4311000,755
2016-09-22,69.660004,70.059998,68.040001,68.559998,56.67979,7619200,756
2016-09-23,68.370003,68.980003,68.300003,68.769997,56.853405,3541900,757
2016-09-26,68.449997,68.449997,67.120003,67.220001,55.57201,6902800,758
2016-09-27,68.050003,68.5,67.730003,68.290001,56.456596,5778400,759
2016-09-28,68.220001,68.360001,67.730003,67.82,56.068039,3376000,760
2016-09-29,67.849998,68.269997,67.669998,67.720001,55.985359,2887300,761
2016-09-30,67.769997,68.900002,67.769997,68.68,56.779018,4900500,762
2016-10-03,68.5,69.029999,68.379997,68.68,56.779018,3295900,763
2016-10-04,68.779999,69.559998,68.5,68.650002,56.754208,4376500,764
2016-10-05,68.620003,68.720001,67.629997,67.739998,56.001881,4762300,765
2016-10-06,67.540001,68.580002,67.209999,68.410004,56.555809,5032300,766
2016-10-07,68.610001,69.209999,68.480003,69.040001,57.07663,3863100,767
2016-10-10,69.410004,69.410004,68.690002,68.860001,56.927826,2724100,768
2016-10-11,68.790001,69.019997,68.279999,68.389999,56.539268,3029900,769
2016-10-12,68.459999,68.559998,67.809998,67.860001,56.101112,4279600,770
2016-10-13,67.669998,68.18,67.309998,67.889999,56.125908,3292100,771
2016-10-14,67.900002,68.550003,67.709999,68.110001,56.307777,3818700,772
2016-10-17,67.980003,68,67.089996,67.239998,55.588535,4059500,773
2016-10-18,67.550003,67.720001,67.010002,67.360001,55.687737,3011600,774
2016-10-19,67.629997,67.699997,67.120003,67.529999,55.828281,2619600,775
2016-10-20,67.620003,67.889999,67.449997,67.709999,55.977089,3961200,776
2016-10-21,67.43,68.449997,67.25,68.230003,56.406994,3121800,777
2016-10-24,68.330002,68.699997,68,68.260002,56.431789,2545800,778
2016-10-25,68,68.330002,67.800003,67.949997,56.175491,2553100,779
2016-10-26,67.879997,68.959999,67.790001,68.589996,56.704609,2846500,780
2016-10-27,68.589996,68.779999,67.489998,67.620003,55.902687,3731200,781
2016-10-28,67.720001,69.25,67.720001,68.830002,56.903011,4114500,782
2016-10-31,68.779999,69.25,68.510002,68.730003,56.820343,3349500,783
2016-11-01,68.660004,68.830002,67.400002,67.779999,56.034973,4019500,784
2016-11-02,67.720001,68.489998,67.349998,68.260002,56.431789,3970600,785
2016-11-03,68.540001,68.589996,66.550003,66.669998,55.11731,5068400,786
2016-11-04,66.720001,67.309998,66.519997,66.529999,55.001564,3937300,787
2016-11-07,67.220001,67.57,67.029999,67.529999,55.828281,4777700,788
2016-11-08,67.360001,67.739998,66.650002,67.050003,55.431473,5097500,789
2016-11-09,66.290001,69.25,66.010002,68.809998,56.88649,9570700,790
2016-11-10,69.669998,72.199997,69.389999,70.540001,58.3167,9639100,791
2016-11-11,70.43,71.540001,70.199997,71.349998,58.986343,5330600,792
2016-11-14,71.07,72.879997,70.849998,72.169998,60.170242,7455400,793
2016-11-15,72.309998,72.370003,71.169998,71.440002,59.561619,7693800,794
2016-11-16,77.5,78.300003,75.559998,76.029999,63.388432,22059200,795
2016-11-17,76.18,76.43,75.400002,76.129997,63.471806,8065000,796
2016-11-18,75.900002,76.389999,75.690002,76.190002,63.521839,6057500,797
2016-11-21,76.120003,76.809998,76,76.510002,63.788639,4477000,798
2016-11-22,76.889999,78.129997,76.860001,77.870003,64.922501,5853300,799
2016-11-23,77.93,78.959999,77.580002,78.480003,65.431076,6768400,800
2016-11-25,78.849998,79.330002,78.419998,78.610001,65.539459,2543800,801
2016-11-28,78.370003,78.940002,77.5,77.720001,64.797447,5405500,802
2016-11-29,78,78.690002,77.75,78.410004,65.372734,4694000,803
2016-11-30,77.730003,78.040001,77.059998,77.239998,64.397263,5819100,804
2016-12-01,76.860001,78.580002,76.589996,77.82,64.880814,6685300,805
2016-12-02,77.239998,78.400002,76.830002,77.940002,64.980858,7523700,806
2016-12-05,78.010002,78.080002,76.800003,76.980003,64.180481,7173300,807
2016-12-06,76.910004,77.080002,76.050003,76.769997,64.005402,7704200,808
2016-12-07,76.790001,77.18,76.099998,76.970001,64.172157,6791000,809
2016-12-08,77.349998,78.419998,77.160004,77.839996,64.897484,5090500,810
2016-12-09,77.440002,77.690002,76.879997,77.389999,64.522324,4047700,811
2016-12-12,76.980003,77.43,76.349998,76.739998,63.9804,4489300,812
2016-12-13,77,78.059998,76.489998,77.669998,64.755745,4925600,813
2016-12-14,77.449997,77.849998,76.849998,77.190002,64.355568,6045400,814
2016-12-15,77.139999,77.690002,76.790001,76.980003,64.180481,4089400,815
2016-12-16,77.040001,78.370003,76.470001,76.75,63.988739,8217400,816
2016-12-19,76.580002,77.639999,76.519997,77.040001,64.230499,2856600,817
2016-12-20,77.349998,78,77.260002,77.650002,64.73909,3504600,818
2016-12-21,77.370003,77.870003,77.120003,77.129997,64.30555,2152400,819
2016-12-22,76.849998,77,73.410004,73.739998,61.479183,8438800,820
2016-12-23,73.980003,74.480003,73.290001,73.5,61.279099,3333700,821
2016-12-27,73.830002,74.230003,73.559998,73.699997,61.445858,2200300,822
2016-12-28,73.75,73.980003,72.75,72.830002,60.720516,2648500,823
2016-12-29,72.779999,73.169998,72.43,72.620003,60.545414,2795300,824
2016-12-30,72.709999,72.93,71.879997,72.230003,60.220268,3069200,825
2017-01-03,72.660004,72.889999,71.989998,72.75,60.653831,3907100,826
2017-01-04,73.099998,74.239998,73.099998,73.809998,61.537571,5316200,827
2017-01-05,72.330002,72.720001,70.849998,72.559998,60.495388,7096300,828
2017-01-06,71.980003,72.230003,71.18,71.440002,59.561619,5235100,829
2017-01-09,71.550003,71.870003,71.360001,71.43,59.553291,3814300,830
2017-01-10,71.379997,72.010002,71.010002,71.43,59.553291,4681800,831
2017-01-11,71.68,71.93,71.330002,71.610001,59.703362,3479900,832
2017-01-12,71.43,71.709999,70.790001,71.25,59.40321,4163200,833
2017-01-13,71.07,71.379997,70.029999,70.190002,58.519459,5332300,834
2017-01-17,70.760002,72.080002,70.629997,70.940002,59.144749,5426700,835
2017-01-18,68,68,66.349998,66.849998,55.73481,19063200,836
2017-01-19,66.330002,66.879997,65.059998,65.389999,54.517563,12274900,837
2017-01-20,65.389999,65.410004,63.779999,64.099998,53.442055,12983500,838
2017-01-23,64.07,64.550003,63.549999,63.849998,53.23362,7909000,839
2017-01-24,63.849998,64.419998,63.610001,64.410004,53.700504,6084400,840
2017-01-25,64.730003,65.169998,64.660004,65,54.192413,5702500,841
2017-01-26,64.849998,64.910004,64.120003,64.169998,53.500408,4393100,842
2017-01-27,64.550003,64.769997,62.939999,63.700001,53.108562,7472000,843
2017-01-30,63.700001,64.139999,63.490002,64.120003,53.458721,5220500,844
2017-01-31,63.799999,64.5,63.450001,64.480003,53.758873,5735100,845
2017-02-01,63.98,64.160004,63.459999,63.669998,53.083546,5307400,846
2017-02-02,63.91,64.169998,63.66,63.68,53.091877,5518400,847
2017-02-03,63.860001,64.349998,63.52,63.75,53.150253,4965300,848
2017-02-06,63.77,63.950001,63.360001,63.419998,52.875111,6003300,849
2017-02-07,63.880001,64.160004,63.450001,63.57,53.000183,4256000,850
2017-02-08,63.509998,64.910004,63.380001,64.769997,54.000641,4511000,851
2017-02-09,64.769997,66.540001,64.610001,66.410004,55.367966,7754800,852
2017-02-10,66.510002,66.959999,65.220001,65.730003,54.801025,5520800,853
2017-02-13,65.620003,65.699997,64.529999,64.809998,54.531769,4218200,854
2017-02-14,64.519997,65.660004,64.519997,65.650002,55.238567,5117100,855
2017-02-15,65.5,65.949997,65.239998,65.75,55.322701,3974000,856
2017-02-16,65.769997,65.849998,65.029999,65.199997,54.859917,3325000,857
2017-02-17,65.239998,65.900002,64.919998,65.790001,55.356373,4235400,858
2017-02-21,66.260002,66.389999,65.790001,66.209999,55.709751,4838600,859
2017-02-22,66.059998,66.279999,65.599998,65.940002,55.482574,3029400,860
2017-02-23,66.040001,66.150002,64.870003,64.980003,54.674816,4867900,861
2017-02-24,65.260002,66.639999,64.93,66.510002,55.962173,6909000,862
2017-02-27,66.389999,67.080002,66.230003,66.910004,56.298756,6839200,863
